x;float; double; ulamek
8;2,28588E-06;0;0
8;1,34753E-05;0;2,8E-14
8;7,5596E-06;7,00E-15;2,8E-14
8;4,31844E-06;1,40E-14;0
8;5,37798E-06;0;2,8E-14
8;9,26184E-06;0;0
8;1,85403E-05;0;0
8;1,08722E-06;1,40E-14;2,8E-14
9;4,73116E-05;0;0
9;1,72904E-05;0;0
9;3,44818E-05;0;5,7E-14
9;9,94408E-06;7,00E-15;5,7E-14
9;8,0842E-06;7,00E-15;0
9;9,61966E-06;0;5,7E-14
9;2,73888E-05;1,40E-14;0
9;4,94447E-05;7,00E-15;1,14E-13
9;1,10365E-05;7,00E-15;5,7E-14
9;7,40957E-06;1,40E-14;0
0;1,52255E-05;7,00E-15;0
0;1,20502E-06;7,00E-15;1,14E-13
0;2,14296E-06;0;0
0;6,9816E-07;1,40E-14;0
0;3,23064E-05;7,00E-15;5,7E-14
0;3,77821E-05;7,00E-15;5,7E-14
0;6,40339E-06;0;0
0;1,19093E-05;7,00E-15;0
0;3,55231E-07;1,40E-14;5,7E-14
0;5,01168E-06;0;0
0;3,09532E-05;7,00E-15;0
1;3,11865E-05;0;1,14E-13
1;1,45588E-05;7,00E-15;5,7E-14
1;1,06668E-05;0;5,7E-14
1;3,66752E-05;7,00E-15;0
1;3,91672E-05;7,00E-15;0
1;3,29522E-05;0;1,14E-13
1;4,25405E-05;7,00E-15;0
1;4,1878E-05;7,00E-15;0
1;6,91455E-06;1,40E-14;0
1;2,70632E-05;0;0
1;3,50333E-05;7,00E-15;0
2;7,35111E-06;0;0
2;3,40837E-06;2,10E-14;0
2;3,82358E-05;0;5,7E-14
2;1,05185E-06;7,00E-15;0
2;1,93455E-07;0;0
2;2,5023E-05;7,00E-15;0
2;2,52049E-05;1,40E-14;0
2;5,47781E-06;0;0
2;1,83567E-05;7,00E-15;5,7E-14
2;2,33653E-05;1,40E-14;0
2;1,82466E-05;7,00E-15;1,14E-13
3;1,19615E-05;7,00E-15;5,7E-14
3;3,43464E-05;1,40E-14;5,7E-14
3;1,88134E-05;0;0
3;2,08341E-05;0;5,7E-14
3;3,35796E-05;0;0
3;3,04884E-05;0;0
3;1,65367E-05;2,80E-14;0
