float; double; ulamek; eigen
49,16826021;66,48889733;10944,40774;14,71322938
55,31429274;75,14921589;12046,50312;13,40952551
51,96191136;70,95873917;10708,62358;12,29206505
52,52064159;68,44445314;11436,64907;15,45820302
50,8444509;69,84127871;13139,37945;12,19894335
51,96191136;70,40000894;11307,02366;14,34074256
52,52064159;92,74921813;14482,84628;12,85079528
55,87302297;91,35239255;12709,15717;15,27195961
53,35873693;70,95873917;12179,76028;16,66878519
53,07937182;72,63492986;12896,89053;16,01693325
59,22540435;86,04445537;13222,90962;19,18307122
54,47619739;73,75239032;12533,15715;14,43386427
56,4317532;78,78096238;13747,27794;13,59576892
62,29842061;86,6031856;15653,38611;17,97248905
56,4317532;77,94286704;13193,57628;13,59576892
