eigen;double;float
0;1,00E-15;1,12E-06
0;1,00E-15;6,53E-07
0;2,00E-15;5,82E-07
0;2,00E-15;7,78E-07
0;1,00E-15;2,29E-07
0;6,00E-15;2,29E-06
0;4,00E-15;3,04E-06
0;1,00E-15;2,39E-06
0;0;5,83E-07
0;4,00E-15;3,51E-06
0;0;3,51E-06
0;0;1,56E-06
0;1,00E-15;1,46E-07
0;4,00E-15;3,16E-06
0;2,00E-15;1,11E-06
0;2,00E-15;2,20E-06
0;0;4,18E-06
0;2,00E-15;4,70E-07
0;3,00E-15;1,24E-06
0;1,00E-15;1,49E-06
0;1,00E-15;1,24E-06
0;0;3,55E-07
0;3,00E-15;4,04E-06
0;2,00E-15;8,63E-08
0;1,00E-15;1,41E-06
0;0;5,46E-07
0;0;8,98E-07
0;0;1,10E-06
0;0;1,76E-06
0;1,00E-15;2,50E-06
0;0;1,40E-06
0;1,00E-15;1,24E-06
0;0;2,73E-06
0;1,00E-15;2,04E-06
0;1,00E-15;1,17E-06
0;1,00E-15;5,42E-07
0;1,00E-15;1,02E-06
0;3,00E-15;3,21E-06
0;2,00E-15;1,23E-06
0;1,00E-15;1,83E-07
0;2,00E-15;1,07E-06
0;0;7,85E-07
0;0;3,46E-07
0;2,00E-15;2,08E-06
0;2,00E-15;1,20E-06
0;0;1,16E-06
0;1,00E-15;4,24E-07
0;0;8,31E-07
0;0;6,57E-07
0;0;1,22E-07
0;0;3,82E-08
0;1,00E-15;5,77E-07
0;1,00E-15;3,29E-07
0;2,00E-15;4,13E-07
0;0;4,48E-07
0;1,00E-15;2,79E-07
0;1,00E-15;2,52E-07
0;0;2,87E-07
0;0;4,20E-07
0;0;5,00E-07
0;0;3,22E-07
0;0;2,43E-07
0;0;1,02E-07
0;0;8,79E-09
0;1,00E-15;6,56E-08
0;0;2,30E-07
0;0;5,77E-07
0;0;1,99E-07
0;2,00E-15;4,21E-07
0;0;1,66E-07
0;0;3,15E-08
0;0;1,37E-07
0;0;2,64E-08
0;0;1,76E-07
0;0;1,87E-07
0;3,00E-15;1,36E-06
0;0;2,43E-07
0;0;1,22E-07
0;0;2,21E-07
0;2,00E-15;1,71E-06
0;3,00E-15;2,25E-06
0;0;1,21E-06
0;2,00E-15;7,92E-07
0;1,00E-15;3,39E-07
0;1,00E-15;3,06E-07
0;0;3,78E-07
0;1,00E-15;1,79E-07
0;3,00E-15;3,49E-07
0;2,00E-15;1,32E-06
0;2,00E-15;1,92E-08
0;3,00E-15;1,25E-06
0;1,00E-15;4,37E-07
0;1,00E-15;5,80E-07
0;3,00E-15;5,32E-08
0;1,00E-15;3,96E-07
0;2,00E-15;9,57E-07
0;1,00E-15;1,49E-07
0;0;2,31E-08
0;4,00E-15;1,15E-06
0;1,00E-15;7,83E-08
0;8,00E-15;2,17E-06
0;1,00E-15;9,85E-08
0;2,00E-15;1,20E-06
0;1,00E-15;1,52E-07
0;1,00E-15;1,45E-06
0;1,00E-15;1,09E-06
0;4,00E-15;6,80E-07
0;1,00E-15;6,36E-07
0;3,00E-15;1,38E-06
0;7,00E-15;1,72E-06
0;3,00E-15;5,16E-07
0;1,00E-15;9,11E-07
0;6,00E-15;2,05E-06
0;7,00E-15;2,49E-06
0;5,00E-15;1,07E-06
0;6,00E-15;1,94E-06
0;2,00E-15;1,86E-07
0;7,00E-15;2,20E-06
0;1,20E-14;3,98E-06
0;4,00E-15;1,33E-06
0;5,00E-15;1,26E-07
0;0;7,05E-07
0;8,00E-15;2,33E-06
0;0;8,94E-07
0;6,00E-15;1,54E-06
0;3,00E-15;2,37E-06
0;1,00E-15;7,43E-07
0;3,00E-15;3,13E-07
0;1,00E-15;4,47E-07
0;6,00E-15;5,45E-07
0;1,00E-15;3,93E-07
0;2,00E-15;2,84E-06
0;6,00E-15;2,34E-06
0;5,00E-15;1,26E-06
0;4,00E-15;4,15E-06
0;9,00E-15;4,46E-06
0;5,00E-15;2,39E-07
0;6,00E-15;1,73E-06
0;0;2,22E-07
0;4,00E-15;2,74E-06
0;0;3,54E-07
0;0;1,91E-07
0;3,00E-15;1,02E-06
0;0;3,97E-07
0;2,00E-15;2,79E-06
0;2,00E-15;7,39E-07
0;2,00E-15;1,90E-07
0;2,00E-15;2,47E-06
0;0;8,61E-07
0;2,00E-15;1,29E-06
0;0;8,51E-07
0;1,00E-15;2,83E-06
0;0;5,02E-07
0;0;1,35E-07
0;0;1,92E-06
0;1,00E-15;1,49E-06
0;0;1,90E-06
0;1,00E-15;6,26E-07
0;0;4,54E-07
0;2,00E-15;4,54E-07
0;2,00E-15;1,90E-07
0;2,00E-15;4,47E-07
0;1,00E-15;5,56E-07
0;0;3,38E-08
0;1,00E-15;1,07E-06
0;1,00E-15;4,83E-07
0;0;5,42E-08
0;0;8,04E-07
0;0;1,32E-06
0;1,00E-15;1,66E-06
0;1,00E-15;1,82E-06
0;0;5,24E-07
