float; double; ulamek; eigen
179,6317688;164,5460526;8134,553414;20,25397083
164,2666875;240,812729;8229,816918;23,6063522
157,0031945;164,8254178;8263,061367;21,23174873
155,3270039;215,1111384;9202,566248;19,41587548
157,8412899;208,4063757;9198,375771;26,81905102
167,0603387;171,8095456;9370,464682;27,79682893
147,5047806;184,939706;9287,213878;21,37143129
142,1968435;238,5778081;10347,12512;28,49524171
161,7524015;213,7143129;10078,93461;28,49524171
194,9968502;281,3206706;10133,41081;24,86349522
172,0889107;195,8349455;9978,363172;26,81905102
262,6032079;218,7428849;10280,35686;49,866673
172,0889107;276,2920986;11029,33473;24,16508243
228,8000291;244,7238406;11038,55378;30,03174985
214,5524082;266,7936847;11219,86174;26,40000335
215,6698687;241,3714592;11141,08078;27,2380987
198,6285967;453,6889465;11218,46492;25,84127312
200,0254222;219,8603454;14061,00496;37,7142905
205,3333594;232,1524104;12285,63966;40,64762421
182,9841502;224,6095523;13834,16049;27,93651148
237,4603476;225,4476477;13181,84294;43,02222769
449,7778349;388,0381445;11712,10307;50,14603811
205,8920896;228,5206639;13258,94772;36,17778237
212,8762175;391,9492561;17345,50062;25,56190801
198,6285967;351,1619494;15910,96075;28,07619404
242,2095546;321,8286123;13919,92558;27,37778125
207,2889152;279,64448;12306,03331;31,42857542
247,7968569;314,8444844;15315,63369;28,77460683
212,5968524;290,2603543;15170,08447;30,45079752
209,5238361;313,1682937;14790,42727;38,83175096
234,9460616;417,0921165;15098,28763;32,12698821
212,8762175;288,3047985;17102,73233;31,00952775
249,4730476;313,4476589;15976,33219;41,76508467
266,2349544;421,0032281;17195,48155;42,88254513
235,5047918;338,5905192;16691,50688;34,92063936
240,2539988;293,3333706;15360,05274;38,55238585
266,5143196;356,1905214;19186,79609;44,55873582
255,8984452;310,3746426;18138,33881;51,26349857
381,3333818;402,8444956;17814,55464;33,8031789
280,2032102;395,8603677;19288,20562;38,69206841
232,9905058;350,8825842;16458,23701;79,20001006
233,8286011;361,2190935;20830,30106;38,83175096
240,812729;576,8889621;20500,65022;75,84762868
